ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
43743,/p1975/m43743,יְהוּדָה גְרַזוֹבְסְקִי,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,תל אביב: הוצאת ידידים
43744,/p1975/m43744,מָרְדְכַי בֶּן־הִלֵל הַכֹּהֵן,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,תל אביב: הוצאת ידידים
43745,/p1975/m43745,"ד""ר חַיִּים הֲרָרִי",דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,תל אביב: הוצאת ידידים
43746,/p1975/m43746,דָּוִד יֶלִין,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,תל אביב: הוצאת ידידים
43747,/p1975/m43747,מֹשֶׁה סְמֵילַנְסְקִי,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,תל אביב: הוצאת ידידים
43754,/p1975/m43754,יהודית הררית,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43755,/p1975/m43755,הציירת אסיה וולף,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43756,/p1975/m43756,אסתר זכרין,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43757,/p1975/m43757,טובה חזקי־נא,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43758,/p1975/m43758,אולגה חנקין,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
